time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.98648049597e-08,9.27601978269e-10,10.0053853207,1.08501069018e-06,6.28303943421,0.0,1.07175383684e-05,9.26765519039e-08,0.179498775765,5.42294524864e-05,-0.00780117229277,0.0,461.15145817481937,460.53498683060553,462.0248004342031,462.0290747411426
0.12000000000000001,6.5248014082e-06,-3.22928423301e-08,10.0229371984,6.2828815185,6.28235834701,0.0,0.000271700379969,-1.60836558569e-05,0.405510382319,-0.0180987616564,-0.0196150108161,0.0,475.64004845482,474.73470514630196,476.0282870687846,474.6374646309735
0.18,4.26257276575e-05,-1.08002441346e-05,10.0489385209,6.28172467051,6.28155596948,0.0,0.00102394059838,-0.000449760453749,0.461178933695,-0.0217561427869,-0.00314874136309,0.0,423.05106407569036,424.46637510612976,421.9674620828874,421.65168574030815
0.23999999999999996,0.000139779556308,-7.43149119157e-05,10.0803588477,6.28026470745,6.28110129686,0.0,0.00224639934339,-0.00181283828916,0.586108614689,-0.0300597520738,-0.0183660642075,0.0,444.9379570813889,443.6906690472886,445.9896667188994,445.3109573478681
0.3,0.000317522905534,-0.000244013056876,10.1166389832,6.27864890234,6.27962287326,0.0,0.00379370547172,-0.00400158693646,0.623208606437,-0.0213096794631,-0.0417393962573,0.0,417.60203760712244,415.5582794718535,416.70500656307075,417.468859064204
0.36000000000000004,0.000618868560064,-0.000571311822512,10.1547393111,6.27780840887,6.27736203543,0.0,0.00646624031313,-0.00700169086366,0.646787673243,-0.00238912476097,-0.0305991723547,0.0,411.4490232815819,412.4331470949776,411.93617566717523,413.6057160239784
0.4200000000000001,0.00114479073377,-0.00111194033009,10.1982682478,6.27713894245,6.27515312735,0.0,0.0112824383147,-0.0110496633441,0.80407739802,-0.0413315539535,-0.0536842638958,0.0,456.7870298311539,454.9419183892781,456.04267143874597,452.92186680972986
0.48000000000000015,0.00203826597571,-0.00193769715518,10.2539719313,6.27509389441,6.27210396581,0.0,0.0188863944075,-0.0167511189777,1.05251117064,-0.022535943229,-0.0456318140235,0.0,482.52567464751337,483.1316678314915,481.25769704510606,482.6776143122022
0.5400000000000001,0.00342196636709,-0.0031218181551,10.3211101496,6.27471361459,6.26966291266,0.0,0.0275105631011,-0.022798801334,1.18529676652,0.0145787430722,-0.0322775973156,0.0,447.77955630576156,448.86358357687607,446.8216235138209,449.8368589180827
0.6000000000000002,0.00533738355367,-0.00464846351555,10.3936595547,6.27543557833,6.26795925318,0.0,0.0365066067354,-0.028013195521,1.23296431659,0.00638072919785,-0.0215822287465,0.0,420.30843777879437,421.2339605350273,422.43293681693785,421.7253876511688
0.6600000000000003,0.0078452377136,-0.00648660358983,10.470498732,6.27605138463,6.26646335511,0.0,0.0472271485106,-0.0332058047973,1.32823339036,0.0170756895552,-0.032650310971,0.0,437.70668163123275,436.7845680896851,436.22086815200686,437.1128373091387
0.7200000000000003,0.0110626612408,-0.00863452609434,10.5549934102,6.27654809995,6.26437896322,0.0,0.0602405946323,-0.0382917795556,1.48805786409,-0.0221169267004,-0.0392848204518,0.0,456.73206569627604,456.2021883810477,459.6157904413339,456.4993180684899
0.7800000000000004,0.0151424382005,-0.0110985479984,10.6508329042,6.27538382145,6.26246776994,0.0,0.0759974172673,-0.0439884636433,1.70628560783,-0.0144680154254,-0.0200694542976,0.0,474.4907272355708,475.9631062975764,474.7000495679768,475.28664283999325
0.8400000000000004,0.0201618887485,-0.0139127242453,10.757497503,6.27434581495,6.26119276452,0.0,0.0914469398624,-0.0499181228922,1.84897671651,-0.0236694679728,-0.0237223235442,0.0,452.3847084760282,452.0905078740955,454.3701402278356,453.6319904495971
0.9000000000000005,0.0261467443834,-0.0171111694653,10.873152997,6.2732320662,6.25946371267,0.0,0.108213234612,-0.0568324868412,2.00593818017,-0.00992373699986,-0.0416988735724,0.0,458.74481075136373,457.31497478263174,457.34314844754914,458.43664053154254
0.9600000000000005,0.0331307387922,-0.0207249132199,10.9961594684,6.27316165511,6.25676206062,0.0,0.124842317582,-0.0636533384643,2.0941121501,0.0122357144353,-0.0526891068079,0.0,438.1665541709054,437.25073821589604,435.6556565810666,437.5044993601348
1.0200000000000005,0.041236562553,-0.0247695569669,11.1269311863,6.27360400765,6.25362102598,0.0,0.145697040857,-0.0710961142993,2.26461244414,-0.00476186730786,-0.051682216567,0.0,462.895078345685,462.97264220433755,463.680989567572,462.34371605944864
1.0800000000000005,0.0507142246908,-0.02927072171,11.2695633198,6.2731949359,6.25041330885,0.0,0.170590254689,-0.078979628898,2.48931614444,-0.0112845551471,-0.0572812508033,0.0,480.3226213533448,479.8961714329237,479.50803090931,479.0123984453106
1.1400000000000006,0.0617321652473,-0.0342460458405,11.4246872166,6.27291722614,6.24695115799,0.0,0.197058133485,-0.0869123513905,2.68103384861,0.00615088988615,-0.0585582760055,0.0,470.7872699361164,470.6863559472692,470.5722981717562,471.9200709441048
1.2000000000000006,0.0743597802297,-0.0396831648924,11.5896905036,6.27341798424,6.24318638109,0.0,0.224239180996,-0.0942744657937,2.81872879395,0.0124097663937,-0.0728105581493,0.0,456.9139538719867,455.7734928920224,454.7279116321258,455.2288904998177
1.2600000000000007,0.088614198026,-0.0455285113626,11.760762501,6.27429455988,6.23878338045,0.0,0.251325209368,-0.100490124918,2.88348892467,0.018681320217,-0.0745535789184,0.0,433.7251248434759,433.5743744523127,433.1317535018152,433.6587785665357
1.3200000000000007,0.104654435749,-0.0517427049091,11.9373557072,6.27518656087,6.23440836757,0.0,0.283798115337,-0.10654011611,3.00262028019,0.00586994149669,-0.0698310892933,0.0,450.20197719908384,450.57986766310677,452.2703732006423,451.23723784656823
1.3800000000000008,0.122660009684,-0.0582912571591,12.1196014768,6.27617820762,6.23087766469,0.0,0.316747599161,-0.111672482879,3.07203080738,0.0321057845343,-0.0429173182054,0.0,434.8209671512675,437.06709599709,435.2226299204489,437.41296239433836
1.4400000000000008,0.142868972736,-0.0651433964566,12.3090751409,6.27833640959,6.22829354753,0.0,0.357148018883,-0.116498479515,3.24326726413,0.0427523759664,-0.0433728636436,0.0,467.91072480331326,467.8743346779779,467.7387853242392,468.5676956019669
1.5000000000000009,0.16552678622,-0.0722308053616,12.5082069623,6.28091901918,6.22555213146,0.0,0.398378088312,-0.119465192475,3.39400202535,0.0436192983946,-0.0507808499023,0.0,463.20662978626495,462.6225392088427,462.81051177300134,462.8796850322791
1.560000000000001,0.190697131167,-0.079437871453,12.7159937727,0.000568683348746,6.22320786987,0.0,0.440889291205,-0.1204759695,3.5317847504,0.0536665738048,-0.0223788351499,0.0,458.7048024423576,460.95391866447545,459.5837469841221,460.38067845269586
1.620000000000001,0.218383696342,-0.0866428210662,12.9307301869,0.00413479181828,6.22156431716,0.0,0.482123470486,-0.119345020972,3.62578482247,0.0690068428274,-0.040007997159,0.0,447.0747839913971,445.6357774764744,447.65965594387154,448.90863405670916
1.680000000000001,0.248623117361,-0.0937005665761,13.1517764897,0.00787232510126,6.21877663359,0.0,0.526096133954,-0.115498995259,3.74202330273,0.0434110079484,-0.064266906366,0.0,456.4352909609797,454.4936424090804,455.32005464765456,453.27016177466464
1.740000000000001,0.281510706367,-0.100461665464,13.3789630903,0.0102162588795,6.21443580464,0.0,0.570535690325,-0.109624072495,3.83052941235,0.0285323584182,-0.0979482006795,0.0,448.10971722229834,445.3586336387434,448.1346395239891,446.9242440272206
