time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.8000000000000012,2.29046824759,2.83359575875,0.0,0.301757456564,5.21912033263,0.0,0.924396429487,2.19168163359,-14.3091825976,10.6740589064,-5.29302922717,0.0,429.190482293,468.944099274,254.456012425,411.262441372,1,-77.4321259873
1.8000000000000012,2.31623133925,2.8561883865,0.0,0.307363218768,5.20431336005,0.0,0.947592039419,2.1957990341,-14.3239042937,10.6513935224,-5.33815263404,0.0,429.806611519,467.551051456,253.93061607,410.464833804,2,-77.5337224472
1.620000000000001,0.0525676768057,-0.223700444125,0.0,1.85731924337,5.08480630643,0.0,-0.0306641162292,-0.880211338678,-13.5335022404,4.6546232874,11.2686381338,0.0,376.090173727,512.451082081,152.887175726,183.994922899,3,-51.5301857912
1.3800000000000008,0.236788602855,-0.0197525922827,0.0,0.0933833323521,0.291907177093,0.0,0.826656174917,-0.122673321252,-18.2968252469,0.099990944592,0.60723719597,0.0,377.679478658,403.188728638,382.74001358,360.480790855,4,-49.0759823316
1.3200000000000007,0.00129808044612,-0.000704275382242,0.0,0.012946690941,0.0502264271314,0.0,0.0251917872307,-0.00978485277108,-17.8493598363,0.136425515672,0.52152892161,0.0,221.174327477,266.817966247,184.365577628,193.644195227,5,-51.7180318221
1.3200000000000007,0.00921259153523,1.73208123715e-05,0.0,6.28318043434,0.547241262569,0.0,0.187950645751,8.64888337218e-05,-17.8375956371,0.000279778279899,2.33922928914,0.0,98.3271808566,342.407614332,5.01522938713,5.61400239857,6,-51.7159680751
1.5000000000000009,0.264143785173,0.000238707696398,0.0,0.0439078353993,4.29615774975,0.0,0.322503694423,0.00955543953801,-13.5628849017,0.343529008736,-25.2945239139,0.0,810.573815897,108.909003034,12.1955973112,42.3457508676,7,-47.0448142404
1.560000000000001,-2.01106335988,7.20799695805e-08,0.0,0.000154893949649,2.02091531437,0.0,-1.19200937066,-5.8734750124e-06,-14.4149547376,0.00599208686396,-27.9422300181,0.0,860.454567791,80.3244764284,8.31808209457,22.1906022443,8,-54.7551286338
1.560000000000001,-2.03256587547,1.77335617114e-06,0.0,0.00087352470475,2.2019970021,0.0,-1.19349219624,-5.23016258401e-05,-14.4264243919,0.00667551240201,-27.6161346281,0.0,867.279817087,107.951922631,8.17856739626,9.91936161555,9,-54.532649894
1.620000000000001,-1.18828594075,9.07268920533e-07,0.0,6.28317286543,5.75541637139,0.0,-1.13817940079,2.4745656906e-06,-14.3776132093,3.0075303655e-05,-28.7762174335,0.0,897.592623988,16.6446099773,0.664746912173,1.84882257874,10,-55.8660694097
1.560000000000001,-1.13343364739,6.61553218007e-07,0.0,6.28318326004,5.20935175393,0.0,-1.19550333752,1.06726596201e-06,-14.3135174035,0.000204999528733,-28.7980974476,0.0,898.337352976,2.44670424178,1.04548291516,3.89488910205,11,-53.9872335913
1.8600000000000012,-17.2396068981,0.223378023951,0.0,1.65647855159,4.60823354364,0.0,-11.5538154105,2.02391704591,-15.1579311645,-22.6222795086,-28.6898920406,0.0,894.023585637,-0.507602835679,899.946968563,599.330100468,12,-93.0
2.2200000000000015,3.22829839742,6.38191105182,0.0,2.24624478162,1.02384845489,0.0,4.20963855938,5.25835288429,-16.3283866212,-28.8279721966,8.9736920269,0.0,468.666788909,646.740734954,899.802122503,9.89912051861,13,-111.0
1.8000000000000012,0.228929298781,-0.412868055684,0.0,5.96410445092,2.36728110841,0.0,2.32421789846,-0.859891579451,-17.1116414911,-13.3793641866,-13.1938559567,0.0,389.338954894,25.5687862455,899.748787012,872.391270764,14,-77.9383628976
1.3800000000000008,5.83777201655,-0.326904286872,0.0,0.617663513508,2.11494349606,0.0,11.8170119536,-0.350844250799,-15.9053430114,-28.4960211726,26.5504354796,0.0,36.9812784249,898.244568497,900.01284846,1.19271791446,15,-66.3619467493
1.5000000000000009,2.58029917796,4.14597230669,0.0,3.17954168996,1.247979281,0.0,3.55899455946,4.85837008234,-17.4798013907,-25.7682944735,28.8435706467,0.0,0.472040716406,900.343850282,900.798449328,162.46089418,16,-74.6770218953
1.740000000000001,-1.92797991722,-0.000746062987799,0.0,6.28283347123,2.69478143612,0.0,-2.03016122759,0.00636008611293,-13.85494491,-0.21762522658,28.8445684124,0.0,0.0682375418778,900.321180654,899.853255514,897.490054054,17,-83.0737850091
1.740000000000001,-1.88288442035,6.7418223981e-06,0.0,0.129891125929,2.63749039378,0.0,-1.96645511987,0.0688809266581,-13.799445503,-0.148381695551,28.8471439504,0.0,0.261647978499,900.312190777,900.36155819,896.824184258,18,-82.9884878515
1.740000000000001,-1.91985281711,0.00181510276049,0.0,0.0340996901164,2.68423214772,0.0,-2.01758648865,0.0231818559234,-13.8437960476,-0.0998477456633,28.8283650564,0.0,0.0182146861859,899.852861384,899.823431936,898.335517461,19,-83.0537148526
1.740000000000001,-1.87797909988,-0.0201844160508,0.0,0.393994353307,2.59452508272,0.0,-1.93321609059,0.117870681427,-13.736038845,-0.0348386729491,28.8156125845,0.0,0.341973798179,899.270606595,899.880573191,894.448091573,20,-83.2737742469
1.740000000000001,-1.92611945711,-0.0408392075267,0.0,5.95990324342,2.61559931571,0.0,-1.97957798565,-0.339956803845,-13.8399889846,-0.332666270406,28.8430288187,0.0,-0.582522665207,900.247250004,899.859508752,899.32885046,21,-83.2433403731
